county,2019,2020,2021
Alabama,43,288,46,179,49,769
Autauga,42,846,45,248,48,347
Baldwin,48,380,51,348,54,659
Barbour,34,870,37,120,40,428
Bibb,31,800,34,598,36,892
Blount,36,542,38,351,42,634
Bullock,27,192,30,429,33,267
Butler,39,254,41,151,46,050
Calhoun,36,869,39,546,42,621
Chambers,33,682,36,299,39,728
Cherokee,37,751,39,416,43,719
Chilton,36,195,38,551,41,748
Choctaw,38,651,41,413,44,241
Clarke,37,426,41,862,45,232
Clay,32,059,34,660,38,705
Cleburne,35,819,37,670,42,836
Coffee,43,164,45,466,49,196
Colbert,37,912,41,088,44,279
Conecuh,34,183,37,887,41,656
Coosa,33,311,35,542,38,275
Covington,35,472,37,777,41,458
Crenshaw,37,965,39,921,46,038
Cullman,40,047,41,925,46,061
Dale,37,574,40,032,43,916
Dallas,35,069,38,762,41,850
DeKalb,33,015,34,999,40,026
Elmore,42,234,44,683,47,381
Escambia,33,325,36,134,39,363
Etowah,37,407,39,795,42,558
Fayette,35,733,37,852,41,672
Franklin,34,382,37,151,40,810
Geneva,36,154,38,132,41,569
Greene,33,294,36,851,40,461
Hale,37,619,40,633,44,085
Henry,44,657,46,518,51,184
Houston,44,250,47,648,50,976
Jackson,37,180,39,664,43,565
Jefferson,55,052,58,053,62,371
Lamar,34,162,36,737,40,114
Lauderdale,38,681,41,778,44,804
Lawrence,35,643,38,225,42,996
Lee,39,355,41,760,45,002
Limestone,44,672,47,397,50,326
Lowndes,40,270,43,398,48,852
Macon,31,670,34,888,38,412
Madison,53,160,56,499,59,852
Marengo,39,394,43,596,47,008
Marion,33,714,36,927,40,939
Marshall,37,819,40,676,44,416
Mobile,39,453,42,837,46,418
Monroe,35,416,39,339,42,872
Montgomery,43,593,47,054,50,337
Morgan,40,831,44,204,47,479
Perry,32,885,37,160,40,414
Pickens,35,986,38,631,43,039
Pike,37,580,40,730,44,659
Randolph,35,044,36,845,41,750
Russell,33,141,35,878,39,378
St. Clair,41,418,43,673,47,117
Shelby,57,963,60,598,64,350
Sumter,32,079,35,200,38,253
Talladega,35,072,37,554,40,668
Tallapoosa,42,151,44,772,48,344
Tuscaloosa,37,898,40,463,43,439
Walker,41,267,43,568,47,239
Washington,38,414,41,642,45,956
Wilcox,33,078,36,742,39,354
Winston,35,599,38,472,41,700
Alaska,61,316,62,756,65,813
Aleutians East Borough,60,712,57,605,60,174
Aleutians West Census Area,60,610,63,509,65,812
Anchorage Municipality,67,317,68,815,72,032
Bethel Census Area,44,649,46,299,48,189
Bristol Bay Borough,136,337,138,387,155,155
Chugach Census Area2,(NA),64,386,70,362
