Name,GeographyType,Year,ResidentPopulation,PercentChangeInResidentPopulation,ResidentPopulationDensity,ResidentPopulationDensityRank,NumberOfRepresentatives,ChangeInNumberOfRepresentatives,AverageApportionmentPopulationPerRepresentative
Alabama,State,2000,"4,447,100",10.1,87.8,28,7,0,"637,304"
Alaska,State,2000,"626,932",14,1.1,52,1,0,"628,933"
Arizona,State,2000,"5,130,632",40,45.2,38,8,2,"642,585"
Arkansas,State,2000,"2,673,400",13.7,51.4,36,4,0,"669,933"
California,State,2000,"33,871,648",13.8,217.4,14,53,1,"640,204"
Colorado,State,2000,"4,301,261",30.6,41.5,39,7,1,"615,983"
Connecticut,State,2000,"3,405,565",3.6,703.3,6,5,-1,"681,907"
Delaware,State,2000,"783,600",17.6,402.1,9,1,0,"785,068"
District of Columbia,State,2000,"572,059",-5.7,"9,370.60",1,,,
Florida,State,2000,"15,982,378",23.5,298,10,25,2,"641,156"
Georgia,State,2000,"8,186,453",26.4,142.3,20,13,2,"631,306"
Hawaii,State,2000,"1,211,537",9.3,188.6,15,2,0,"608,321"
Idaho,State,2000,"1,293,953",28.5,15.7,46,2,0,"648,637"
Illinois,State,2000,"12,419,293",8.6,223.7,13,19,-1,"654,686"
Indiana,State,2000,"6,080,485",9.7,169.7,18,9,-1,"676,754"
Iowa,State,2000,"2,926,324",5.4,52.4,35,5,0,"586,385"
Kansas,State,2000,"2,688,418",8.5,32.9,42,4,0,"673,456"
Kentucky,State,2000,"4,041,769",9.7,102.4,25,6,0,"674,905"
Louisiana,State,2000,"4,468,976",5.9,103.4,24,7,0,"640,039"
Maine,State,2000,"1,274,923",3.8,41.3,40,2,0,"638,866"
Maryland,State,2000,"5,296,486",10.8,545.6,7,8,0,"663,486"
Massachusetts,State,2000,"6,349,097",5.5,814,5,10,0,"635,557"
Michigan,State,2000,"9,938,444",6.9,175.8,17,15,-1,"663,722"
Minnesota,State,2000,"4,919,479",12.4,61.8,33,8,0,"615,709"
Mississippi,State,2000,"2,844,658",10.5,60.6,34,4,-1,"713,232"
Missouri,State,2000,"5,595,211",9.3,81.4,29,9,0,"622,918"
Montana,State,2000,"902,195",12.9,6.2,50,1,0,"905,316"
Nebraska,State,2000,"1,711,263",8.4,22.3,44,3,0,"571,790"
Nevada,State,2000,"1,998,257",66.3,18.2,45,3,1,"667,344"
New Hampshire,State,2000,"1,235,786",11.4,138,22,2,0,"619,208"
New Jersey,State,2000,"8,414,350",8.9,"1,144.20",2,13,0,"648,027"
New Mexico,State,2000,"1,819,046",20.1,15,47,3,0,"607,940"
New York,State,2000,"18,976,457",5.5,402.7,8,29,-2,"655,344"
North Carolina,State,2000,"8,049,313",21.4,165.6,19,13,1,"620,590"
North Dakota,State,2000,"642,200",0.5,9.3,49,1,0,"643,756"
Ohio,State,2000,"11,353,140",4.7,277.8,11,18,-1,"631,919"
Oklahoma,State,2000,"3,450,654",9.7,50.3,37,5,-1,"691,764"
