RegionName,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,77159.66,130017.33,134109.61,70008.38,199152.15,183201.33,171347.83,136374.69,174316.49,110847.77,116207.89,211639.54,117086.88,113333.09,90949.74,77409.8,73483.86,78812.66,84292.03,94878.09,144540.58,200293.6,98655.08,119466.62,66856.34,87341.04,,106792.97,164739.99,136944.61,160745.52,,128979.19,119066.37,,97296.35,71880.52,147523.24,89627.9,132634.72,101651.37,90813.87,93036.41,105055.82,168086.06,90681.42,119041.24,173680.72,58724.5,104426.29,
2001,80310.72,151837.99,141570.35,73321.15,226643.32,204896.52,186254.03,144553.95,186879.56,119799.59,124686.23,224031.67,121370.53,122449.34,94205.54,81095.77,77926.67,83166.04,88825.27,105183.06,153367.21,230411.6,105535.75,135514.46,70303.38,93473.72,,102374.2,174034.7,156609.25,177699.03,,139092.09,123890.69,,101792.12,75419.41,152901.21,94424.39,146835.78,106399.4,92245.48,96325.56,106490.88,173277.21,98070.78,128736.67,182547.68,62072.24,110389.48,
2002,82471.38,165531.13,148821.55,75609.74,254847.35,216297.71,205910.67,154581.03,210066.91,131497.74,130778.78,241128.76,125111.84,131987.01,95914.85,84607.47,81010.16,86204.36,92956.65,117735.28,168570.25,262437.48,110575.51,150104.91,72370.91,99800.55,,102620.67,185570.63,177594.71,200302.85,125257.7,151557.3,126727.99,,105292.48,78219.89,159369.78,100271.63,170933.58,109472.95,95053.07,98761.41,108857.92,174484.8,106571.05,140676.36,190604.64,64268.4,116748.59,131595.47
2003,84934.67,173518.61,157385.63,78923.02,296913.99,220599.36,231093.99,169181.92,244658.82,146009.05,134894.5,275483.52,128378.65,142093.85,97611.61,88223.38,83040.99,89060.81,96342.97,131408.35,191305,298507.58,114605.36,163270.94,74578.65,106023.54,,107125.89,202141.8,201735.54,231801.97,128539.11,167289.32,129264.81,,109143.9,80932.68,167709.39,108403.57,205785.5,112912.33,98950.1,101298.43,112191.36,174435.65,115196.68,155517.71,199909.2,67018.19,124171.19,135630.34
2004,87933.46,187068.29,171646.72,83363.05,360407.63,225130.89,258502.01,189127.24,287130.11,166607.93,139040.38,334638.25,133987.05,153564.57,100364.15,91992.74,86884.4,92022.85,100973.3,149970.84,223504.34,329106.84,119302.1,176681.42,77068.05,111913.38,,112711.49,256433.22,224579.79,264273.81,135437.77,184900.2,132742.15,,113300.84,83790.66,181184.72,118730.71,243086.21,117962.97,104724.75,104928.03,118227.81,176958.17,128829.33,179730.79,217672.31,71246.52,134665,144741.02
2005,92247.29,204072.13,221543.86,89569.33,439525.26,231445.17,290487.78,218760.61,348371.37,205254.67,144355.55,419308.05,147667.18,166978.99,106037.53,96408.52,91910.24,95865.9,106783.89,168315.33,271621.75,357355.63,123096.49,189322.07,81302.69,117432.73,150528.35,117485.94,330467.4,246607.15,303585.06,145354.66,205312.72,138211.36,,116998.2,87214.55,206800.06,132165.1,277383.1,125952.87,112088.14,111008.48,124043.93,181126.49,144840.35,217189.78,249904.9,77057.13,145293.49,157179.92
2006,99355.87,221435.48,272752.74,95837.07,485051.39,236922.07,312721.88,242915.01,394008.7,248855.61,150430.84,496108.47,178946.28,178637.58,109060.34,100272.93,94615.23,99306.23,117093.17,174887.78,313967.05,358350.22,124088.08,195357.75,87914.69,122470.76,163356.84,121286.01,351419.72,255651.65,334988.05,164894.7,222708.99,146624.52,,119365.18,91098.42,245890.57,144410.16,290992.86,136099.27,117554.87,118719.08,128270.31,199882.6,159348.23,244374.56,292667.01,80796.47,151865.77,171720.09
2007,104108.67,234612.95,261930.99,98554.17,467396.94,237680.13,311296.66,249536.01,398583.65,243137.09,154242.44,506218.2,189004.34,181550.08,110867.4,102622.82,97786.43,101109.49,122904.39,174731.72,319985.65,341744.8,118818.87,192731.55,92859.16,124537.83,173578.36,122566.97,333527.41,248492.66,332473.42,178211.61,227300.63,154208.38,,118521.45,94198.73,263667.86,149763.99,278773.59,142103.22,121284.18,124073.66,133347.13,231407.01,167570.34,244788.89,313236.78,82872.13,153680.03,185551.46
2008,103726.38,239931.72,218923.04,98492.48,383881.5,230610.08,294292.93,240922.04,386781.33,203219.02,148910.31,495194.59,187761.77,171946.25,110794.9,103148.32,98904.75,101007.01,124027.16,170958.55,295051.05,321704.66,107215.07,179555.78,91980.26,122116.91,177287.28,119754.33,260775.1,234552.99,312971.69,177084.12,225173.27,155794.98,,114907.83,95458.39,253343.4,149302.78,259025.82,141389.97,124712.26,122791.91,133392,235516.98,169429.69,228650.96,299510.09,83756.82,150639.81,189355.04
2009,99908.52,239659.83,169247.98,95475.75,309523.13,223572.91,272089.81,224553.34,360872.74,162338.02,133953.37,453552.68,167952.06,152489.06,108020.13,102025.09,98480.28,100075.96,123200.39,159988.63,258466.39,300525.04,91216.6,163867.72,88957.92,117328.73,174082.9,118050.27,186203.37,217613.23,286950.29,168228.52,214585.3,149801.79,132759.37,109432.94,95205.15,228154.17,144390.03,228455.85,134824.03,124579.18,118084.25,130229.69,213142.04,165874.96,210595.09,268068.69,81761.42,142626.04,186228.92
2010,96029.06,240385.55,153003.16,94119.8,306208.9,221873.48,261470.52,217155.35,357868.67,147468.05,124482.78,445426.12,152275.76,142625.22,106800.47,101665.77,98168.94,99418.16,122911.79,155742.16,244489.27,301946.24,84436.85,159321.33,86661.48,114799.01,168886.7,119534.34,159159.95,211301.38,277169.5,162970.53,211881.38,144806.26,133099.02,106777.96,95995.89,214659.65,143866.62,224915.51,130815.09,123694.75,115631.46,129675.42,199898.96,163542.83,206356.18,253236.15,80111.32,139356.76,183331.61
2011,91625.99,237740.54,135960.45,91607.43,290369.8,213592.67,247767.04,203684.86,352030.09,134018.11,112924.45,447076.44,137163.51,131024.99,103937.69,99398.84,95089.72,96632.08,119788.26,152750.19,230846.29,291220.51,79452.11,146639.62,84817.02,108340.67,163462.54,116079.65,143965.63,205208.39,260478.11,153877.73,206729.77,138421.47,134990.87,101830.81,93602.03,197028.29,138162.7,214226.07,124357.67,123333.42,111828.67,125679.48,185086.13,163653.79,199666.59,231096.94,79128.69,130428.28,181635.9
